country_code	publication_number	application_number	pct_number	family_id	publication_date	filing_date	priority_date
WO	WO-2018053446-A1	US-2017052103-W	PCT/US2017/052103	61619771	20180322	20170918	20160918
EP	EP-2494350-A1	EP-10772984-A	PCT/EP2010/006563	43302154	20120905	20101027	20091027
WO	WO-2017093718-A1	GB-2016053742-W	PCT/GB2016/053742	55177456	20170608	20161129	20151130
WO	WO-2011069951-A1	EP-2010068946-W	PCT/EP2010/068946	43446689	20110616	20101206	20091211
EP	EP-2772488-B1	EP-13198379-A	""	38922909	20161102	20060815	20060627
WO	WO-2017142324-A2	KR-2017001714-W	PCT/KR2017/001714	59626202	20170824	20170216	20160218
WO	WO-2018060689-A1	GB-2017052880-W	PCT/GB2017/052880	60020244	20180405	20170927	20160927
US	US-8486885-B2	US-64781009-A	""	42310455	20130716	20091228	20081229
US	US-9624268-B2	US-201514800627-A	""	55079037	20170418	20150715	20140717
US	US-8409550-B2	US-201213529004-A	""	22802434	20130402	20120621	20000630
WO	WO-2017147523-A1	US-2017019506-W	PCT/US2017/019506	59685586	20170831	20170224	20160226
US	US-8445722-B2	US-16294007-A	PCT/KR2007/006337	39492405	20130521	20071207	20061207
WO	WO-2018036957-A1	EP-2017071019-W	PCT/EP2017/071019	56799313	20180301	20170821	20160823
WO	WO-2018048943-A1	US-2017050332-W	PCT/US2017/050332	61561660	20180315	20170906	20160907
WO	WO-2018060742-A1	GB-2017052949-W	PCT/GB2017/052949	57571070	20180405	20171002	20160930
WO	WO-2018065768-A1	GB-2017052971-W	PCT/GB2017/052971	60083349	20180412	20171004	20161005
US	US-9593149-B2	US-201615151093-A	""	51483301	20170314	20160510	20140904
US	US-8357701-B2	US-67234708-A	PCT/US2008/073152	40351479	20130122	20080814	20070815
US	US-9708375-B2	US-201414776917-A	PCT/US2014/029388	50631082	20170718	20140314	20130315
WO	WO-2018167019-A1	EP-2018056170-W	PCT/EP2018/056170	58347148	20180920	20180313	20170314
WO	WO-2018183145-A1	US-2018024249-W	PCT/US2018/024249	63676658	20181004	20180326	20170326
WO	WO-2018200674-A1	US-2018029363-W	PCT/US2018/029363	62148516	20181101	20180425	20170426
US	US-8242122-B2	US-75103610-A	""	46300449	20120814	20100331	20020228
WO	WO-2018067834-A1	US-2017055366-W	PCT/US2017/055366	61831270	20180412	20171005	20161005
WO	WO-2017222914-A1	US-2017037766-W	PCT/US2017/037766	60784893	20171228	20170615	20160621
WO	WO-2018213150-A1	US-2018032486-W	PCT/US2018/032486	62567761	20181122	20180514	20170515
WO	WO-2018036942-A1	EP-2017070985-W	PCT/EP2017/070985	56799317	20180301	20170821	20160823
US	US-8354432-B2	US-44424907-A	PCT/US2007/080238	39055729	20130115	20071003	20061004
WO	WO-2018115380-A1	EP-2017084265-W	PCT/EP2017/084265	57777432	20180628	20171221	20161222
US	US-9387213-B2	US-201314434803-A	PCT/US2013/064883	50478086	20160712	20131014	20121012
WO	WO-2018122550-A1	GB-2017053822-W	PCT/GB2017/053822	58412307	20180705	20171219	20161229
WO	WO-2018157842-A1	CN-2018077789-W	PCT/CN2018/077789	63369759	20180907	20180301	20170302
WO	WO-2018034917-A1	US-2017046183-W	PCT/US2017/046183	61196963	20180222	20170810	20160815
US	US-9796709-B2	US-201415100654-A	PCT/JP2014/082943	53371291	20171024	20141212	20131213
WO	WO-2016079317-A1	EP-2015077263-W	PCT/EP2015/077263	51982421	20160526	20151120	20141120
EP	EP-2323502-B1	EP-09781348-A	PCT/EP2009/059940	40404770	20120905	20090731	20080905
WO	WO-2016145994-A1	CN-2016075391-W	PCT/CN2016/075391	56918370	20160922	20160303	20150319
WO	WO-2017139778-A1	US-2017017690-W	PCT/US2017/017690	58191599	20170817	20170213	20160212
US	US-8492550-B2	US-92066809-A	PCT/US2009/036120	40592045	20130723	20090305	20080307
US	US-8440652-B2	US-201213410407-A	""	45852728	20130514	20120302	20110304
WO	WO-2017183927-A1	KR-2017004246-W	PCT/KR2017/004246	60116230	20171026	20170420	20160420
EP	EP-2681207-B1	EP-12751925-A	PCT/US2012/027423	46758511	20161228	20120302	20110302
